# RC Launcher built-in mod catalog (offline fallback, FCL-style mod_data.txt).
# TAB-separated columns:
# id | slug | name | summary | categories(csv) | loaders(csv) | game_versions(csv) | environment(client|server|both) | source | dependencies(csv) | tags(csv) | downloads | featured(0|1) | project_url
sodium	sodium	Sodium	Modern OpenGL rendering engine that dramatically improves frame rates.	optimization	fabric	1.16.5,1.17.1,1.18.2,1.19.2,1.19.4,1.20.1,1.20.4,1.21.1	client	builtin		performance,rendering,graphics	185000000	1	https://modrinth.com/mod/sodium
lithium	lithium	Lithium	Game logic and AI optimization mod that reduces tick time.	optimization	fabric	1.16.5,1.17.1,1.18.2,1.19.2,1.19.4,1.20.1,1.20.4,1.21.1	both	builtin		performance,ticking	60000000	1	https://modrinth.com/mod/lithium
phosphor	phosphor	Phosphor	Lighting engine optimization that reduces lighting update overhead.	optimization	fabric	1.16.5,1.17.1,1.18.2,1.19.2	both	builtin		performance,lighting	12000000	0	https://modrinth.com/mod/phosphor
fabric-api	fabric-api	Fabric API	Core library required by most Fabric mods.	library	fabric	1.14.4,1.15.2,1.16.5,1.17.1,1.18.2,1.19.2,1.19.4,1.20.1,1.20.4,1.21.1	both	builtin		library,api,core	250000000	1	https://modrinth.com/mod/fabric-api
iris	iris	Iris	Modern shader mod for Fabric with OptiFine shaderpack compatibility.	optimization,worldgen	fabric	1.16.5,1.17.1,1.18.2,1.19.2,1.19.4,1.20.1,1.20.4,1.21.1	client	builtin	sodium	shaders,graphics,rendering	30000000	1	https://modrinth.com/mod/iris
create	create	Create	Mechanical automation, contraptions and kinetic engineering.	technology	forge,neoforge,fabric	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		automation,machines,tech	40000000	1	https://modrinth.com/mod/create
jei	jei	Just Enough Items	View recipes and usages of items in-game.	utility	forge,fabric	1.12.2,1.16.5,1.18.2,1.19.2,1.20.1,1.20.4	both	builtin	fabric-api	recipes,utility,gui	70000000	1	https://modrinth.com/mod/jei
journeymap	journeymap	JourneyMap	Real-time mapping with a minimap and fullscreen map.	map	forge,fabric	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin	fabric-api	map,minimap,navigation	25000000	0	https://modrinth.com/mod/journeymap
tinkers-construct	tinkers-construct	Tinkers' Construct	Forge your own tools and weapons with custom materials.	technology,equipment	forge	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		tools,weapons,smelting	50000000	1	https://modrinth.com/mod/tinkers-construct
ars-nouveau	ars-nouveau	Ars Nouveau	A magic mod focused on spell crafting and rituals.	magic	forge,fabric	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		magic,spells	12000000	0	https://modrinth.com/mod/ars-nouveau
botania	botania	Botania	Tech-themed magic using flowers and mana.	magic	forge,fabric	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		magic,flowers,mana	18000000	0	https://modrinth.com/mod/botania
applied-energistics-2	applied-energistics-2	Applied Energistics 2	Highly advanced storage and autocrafting network.	technology,storage	forge	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		storage,autocrafting,tech	22000000	1	https://modrinth.com/mod/applied-energistics-2
thermal	thermal	Thermal Series	Power generation, machines and storage for automation.	technology,storage	forge	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		tech,energy,machines	15000000	0	https://modrinth.com/mod/thermal
quark	quark	Quark	Small vanilla-friendly features toggled individually.	decoration,game-mechanics	forge	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		vanilla,features,building	30000000	0	https://modrinth.com/mod/quark
twilight-forest	twilight-forest	The Twilight Forest	A sprawling dimension filled with bosses and dungeons.	adventure,worldgen	forge,fabric	1.12.2,1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		dimension,bosses,exploration	40000000	1	https://modrinth.com/mod/twilight-forest
voxelmap	voxelmap	VoxelMap	Lightweight minimap with waypoints.	map	forge,fabric	1.12.2,1.16.5,1.18.2,1.19.2,1.20.1	client	builtin		map,minimap	14000000	0	https://modrinth.com/mod/voxelmap
xaeros-minimap	xaeros-minimap	Xaero's Minimap	Full featured minimap with entity radar and caves.	map	forge,fabric	1.12.2,1.16.5,1.18.2,1.19.2,1.20.1	client	builtin		map,minimap,radar	35000000	0	https://modrinth.com/mod/xaeros-minimap
mouse-tweaks	mouse-tweaks	Mouse Tweaks	Enhanced inventory and crafting mouse interactions.	utility	forge,fabric	1.12.2,1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		inventory,utility,qol	20000000	0	https://modrinth.com/mod/mouse-tweaks
curious	curious	Curious	Flexible accessory and curio system for forge.	equipment	forge	1.16.5,1.18.2,1.19.2,1.20.1	both	builtin		accessories,equipment,curios	16000000	0	https://modrinth.com/mod/curious
terrafirmacraft	terrafirmacraft	TerraFirmaCraft	Hardcore survival overhaul of the early game.	game-mechanics	forge	1.12.2,1.18.2,1.20.1	both	builtin		survival,hardcore,overhaul	9000000	0	https://modrinth.com/mod/terrafirmacraft
optifine	optifine	OptiFine	Classic optimization and shader support for Minecraft.	optimization	optifine	1.7.10,1.12.2,1.16.5,1.18.2,1.19.2,1.20.1	client	builtin		performance,shaders,graphics	90000000	1	https://optifine.net
